size,flag1,flag2,flag3,flag4,target
4.3,0,0,0,0,0
0.73,1,0,0,0,0
17.36,0,0,1,0,0
9.24,1,0,1,0,1
15.47,0,0,1,0,0
3.85,0,0,0,0,0
19.95,0,1,0,0,1
8.44,1,0,1,0,1
12.45,0,0,1,0,0
9.15,0,0,1,0,1
1.44,0,0,0,0,0
17.5,1,0,1,0,0
12.29,1,0,1,0,0
10.68,1,0,1,1,0
2.51,1,0,0,0,0
19.24,0,1,0,0,1
7.45,1,0,1,1,0
0.07,0,0,0,0,0
5.64,1,0,0,0,0
8.48,0,0,1,0,1
6.89,1,0,1,1,0
17.2,1,0,1,0,0
14.34,0,0,1,0,0
19.17,0,1,0,0,1
15.89,0,0,1,0,0
4.81,0,0,0,0,0
4,0,0,0,0,0
15.97,1,0,1,0,0
7.73,1,0,1,1,0
4.25,1,0,0,0,0
18.99,0,1,0,0,1
20.71,0,1,0,0,1
2.44,1,0,0,0,0
17.26,0,0,1,0,0
16.09,1,0,1,0,0
0.23,1,0,0,0,0
17.75,1,0,1,0,0
10.1,0,0,1,1,0
6.08,0,0,1,1,0
20.38,1,1,0,0,1
14.18,1,0,1,0,0
15.78,1,0,1,0,0
16.81,0,0,1,0,0
12,1,0,1,0,0
19.43,1,1,0,0,1
20.92,0,1,0,0,1
2.54,0,0,0,0,0
20.49,0,1,0,0,1
18.78,0,1,0,0,1
14.15,1,0,1,0,0
20.59,1,1,0,0,1
4.31,1,0,0,0,0
10.08,0,0,1,1,0
19.54,1,1,0,0,1
16.57,1,0,1,0,0
16.15,0,0,1,0,0
5.64,1,0,0,0,0
10.27,0,0,1,1,0
13.61,0,0,1,0,0
6.96,1,0,1,1,0
10.14,0,0,1,1,0
17.8,1,0,1,0,0
19.42,0,1,0,0,1
6.65,1,0,1,1,0
12.35,0,0,1,0,0
11.76,0,0,1,0,0
5.9,0,0,0,1,0
18.17,1,1,0,0,1
3.24,1,0,0,0,0
7.69,0,0,1,1,0
16.82,1,0,1,0,0
18.44,1,1,0,0,1
3.33,1,0,0,0,0
14.16,0,0,1,0,0
16.15,1,0,1,0,0
12.87,1,0,1,0,0
11.39,0,0,1,0,0
8.78,1,0,1,0,1
13.18,0,0,1,0,0
4.19,1,0,0,0,0
0.06,0,0,0,0,0
19.98,0,1,0,0,1
18.66,1,1,0,0,1
3.82,1,0,0,0,0
20.62,0,1,0,0,1
6.5,1,0,1,1,0
12.58,1,0,1,0,0
3.69,0,0,0,0,0
11.26,0,0,1,0,0
12.26,0,0,1,0,0
